jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight
0.18784402,0.12073935,0.28299835,0.17981513,0.0046576182,0.0068286187,0.058468115,0.04153283,0.02512179,0.0382784,0.04422578,0.042531043,0.22932464,0.23371242,0.08698376,0.16539253,0.05976641,0.13964598,0.02385109,0.018072633,0.24826883,0.25350744,0.03395107
0.18978658,0.12222376,0.2819098,0.1804796,0.0020141224,0.00795653,0.056232218,0.041640528,0.02293417,0.03587819,0.04324863,0.042333663,0.22701067,0.23306417,0.08798827,0.16680793,0.05926692,0.1365614,0.024756774,0.01859747,0.24570462,0.2534827,0.03508843
0.18387088,0.11932605,0.27960843,0.17144184,-0.0005769397,0.0084616495,0.06024216,0.047132395,0.02253619,0.03420435,0.04690633,0.045920562,0.2200956,0.22833572,0.08941803,0.17202961,0.058666896,0.12839997,0.025788158,0.019212084,0.24092555,0.24750696,0.036375757
0.19612488,0.12570544,0.2826227,0.1736938,0.0010463418,0.008108745,0.05804956,0.044960316,0.022625161,0.035376076,0.04489583,0.04381219,0.2260744,0.2340336,0.09053187,0.1756597,0.056991316,0.13315421,0.024834407,0.018619308,0.2528385,0.260847,0.034742806
0.20961241,0.13163757,0.2857221,0.17620015,0.0033694692,0.007482482,0.05850603,0.039745837,0.022625644,0.03484168,0.039593477,0.038945165,0.23830503,0.2448979,0.0883554,0.17263351,0.055515327,0.1463049,0.023370773,0.01785193,0.2702465,0.27827844,0.033030514
0.20191593,0.12290597,0.2813919,0.17319697,0.0062183333,0.0069751376,0.069034666,0.04933795,0.018401586,0.028655414,0.044658035,0.042896632,0.23676805,0.2403781,0.08312066,0.16214906,0.05791727,0.14968328,0.023676157,0.018202856,0.27264142,0.2776979,0.03445835
0.23844711,0.12997842,0.2963839,0.19543323,0.0103955325,0.005043538,0.07239078,0.043972217,0.018829627,0.029318705,0.025362967,0.024117807,0.2839565,0.27487314,0.065288946,0.13558775,0.053673927,0.21094134,0.019184515,0.015661666,0.32262227,0.33194798,0.040484715
0.2358886,0.12870511,0.29118916,0.18602437,0.0058002793,0.006802165,0.07390923,0.05217514,0.01618837,0.024649352,0.02953894,0.029886615,0.2681673,0.26707783,0.065903015,0.14289516,0.05223476,0.19476049,0.021147266,0.016581941,0.31251985,0.32217777,0.041485056
0.24258742,0.13291137,0.28784326,0.17741552,0.0006832917,0.008798206,0.080350585,0.061623074,0.01390552,0.019885464,0.030375727,0.030393645,0.2668952,0.26813966,0.06592005,0.15059173,0.04727027,0.18827659,0.021367153,0.016347798,0.3159886,0.32244387,0.04226468
0.22834502,0.12741202,0.28626606,0.17267774,0.0036211545,0.00717052,0.077281184,0.05623349,0.012888205,0.019498775,0.030288331,0.030528195,0.2666786,0.2654756,0.066878684,0.15063053,0.049844347,0.18665504,0.020898903,0.016488168,0.3058219,0.31427315,0.04243573
